dt_sismo,fecha_sismo,hora_sismo,latitude,longitude,profundidad,mag,ubicacion,pais
2023-02-23 03:22:10.226000+00:00,2023-02-23,03:22:10.226000,-30.39,-71.6309,31.937,4.7,"Near the coast of Coquimbo, Chile",Chile
2023-02-23 10:23:36.021000+00:00,2023-02-23,10:23:36.021000,-33.901,-73.2549,10.0,5.5,"156 km WSW of San Antonio, Chile",Chile
2023-02-23 23:34:36.277000+00:00,2023-02-23,23:34:36.277000,-26.7049,-71.3113,21.621,4.3,"Off the coast of Atacama, Chile",Chile
2023-02-24 00:37:16.002000+00:00,2023-02-24,00:37:16.002000,-32.0873,-71.8963,13.367,4.2,"74 km WNW of La Ligua, Chile",Chile
2023-02-24 00:57:53.953000+00:00,2023-02-24,00:57:53.953000,-32.0852,-71.8367,34.416,4.0,"70 km NW of La Ligua, Chile",Chile
2023-02-24 23:31:03.088000+00:00,2023-02-24,23:31:03.088000,-25.0478,-70.9076,24.112,4.2,"58 km NW of Taltal, Chile",Chile
2023-02-25 07:05:20.435000+00:00,2023-02-25,07:05:20.435000,-21.6383,-70.2945,24.748,4.2,"51 km N of Tocopilla, Chile",Chile
2023-02-25 16:25:15.044000+00:00,2023-02-25,16:25:15.044000,-36.8676,-73.415,23.691,4.4,"30 km NW of Coronel, Chile",Chile
2023-02-27 14:08:22.980000+00:00,2023-02-27,14:08:22.980000,-26.7414,-70.1718,94.644,4.5,"Near the coast of Atacama, Chile",Chile
2023-02-28 01:45:21.698000+00:00,2023-02-28,01:45:21.698000,-20.9729,-70.8725,22.808,4.0,"108 km SW of La Tirana, Chile",Chile
2023-02-28 01:48:24.525000+00:00,2023-02-28,01:48:24.525000,-20.9867,-70.8467,10.0,4.2,"108 km SW of La Tirana, Chile",Chile
2023-02-28 09:05:30.582000+00:00,2023-02-28,09:05:30.582000,-30.0714,-71.3574,53.825,4.1,"13 km S of Coquimbo, Chile",Chile
2023-02-28 13:19:43.684000+00:00,2023-02-28,13:19:43.684000,-19.0466,-71.0023,35.0,4.0,"87 km W of Cuya, Chile",Chile
2023-03-01 16:54:36.266000+00:00,2023-03-01,16:54:36.266000,-34.7881,-71.8496,39.174,4.3,"47 km WSW of Santa Cruz, Chile",Chile
2023-03-02 13:47:34.483000+00:00,2023-03-02,13:47:34.483000,-41.0493,-74.0589,29.779,3.9,"Off the coast of Los Lagos, Chile",Chile
2023-03-03 07:19:54.899000+00:00,2023-03-03,07:19:54.899000,-33.5539,-72.0744,21.121,4.1,"43 km W of Cartagena, Chile",Chile
2023-03-05 01:06:10.236000+00:00,2023-03-05,01:06:10.236000,-22.0699,-70.346,55.857,4.1,"15 km W of Tocopilla, Chile",Chile
2023-03-05 22:07:17.242000+00:00,2023-03-05,22:07:17.242000,-28.1573,-71.4059,25.343,4.4,"78 km NW of Vallenar, Chile",Chile
2023-03-06 07:34:51.320000+00:00,2023-03-06,07:34:51.320000,-29.6506,-71.5163,59.292,5.0,"37 km NNW of Coquimbo, Chile",Chile
2023-03-08 09:00:22.344000+00:00,2023-03-08,09:00:22.344000,-33.8468,-73.3156,10.0,4.3,"160 km W of San Antonio, Chile",Chile
2023-03-09 17:42:54.461000+00:00,2023-03-09,17:42:54.461000,-37.1081,-74.0031,10.0,4.3,"62 km WNW of Arauco, Chile",Chile
2023-03-11 02:35:28.355000+00:00,2023-03-11,02:35:28.355000,-45.6632,-77.3216,10.0,5.2,"Off the coast of Aisen, Chile",Chile
2023-03-11 04:13:44.987000+00:00,2023-03-11,04:13:44.987000,-41.302,-73.8421,45.648,4.5,"63 km N of Ancud, Chile",Chile
2023-03-14 07:11:14.718000+00:00,2023-03-14,07:11:14.718000,-26.9138,-71.2468,11.804,4.5,"103 km WNW of Copiapó, Chile",Chile
2023-03-14 19:56:39.183000+00:00,2023-03-14,19:56:39.183000,-38.3815,-75.2656,8.0,5.5,"165 km WSW of Lebu, Chile",Chile
2023-03-15 09:35:42.096000+00:00,2023-03-15,09:35:42.096000,-28.3108,-70.5426,71.562,4.2,"Atacama, Chile",Chile
2023-03-15 21:35:21.372000+00:00,2023-03-15,21:35:21.372000,-24.3668,-70.8414,32.261,4.0,"91 km SSW of Antofagasta, Chile",Chile
2023-03-18 04:14:23.376000+00:00,2023-03-18,04:14:23.376000,-36.0348,-73.6672,6.678,4.0,"90 km NW of Tomé, Chile",Chile
2023-03-19 00:25:24.364000+00:00,2023-03-19,00:25:24.364000,-28.1,-71.5544,27.583,4.1,"94 km NW of Vallenar, Chile",Chile
